symbol,funding_time,year,rate,z,side,r1,r4,r12
LTCUSDT,1750262400001,2025,-4.378e-05,-2.1125947871168713,LONG,0.0013004671691528552,0.009185179979767026,0.008481615222789883
LTCUSDT,1751040000009,2025,-6.103e-05,-2.4578965845766825,LONG,-0.011907737748951347,0.0023646263087131313,0.006959627029841489
LTCUSDT,1751414400001,2025,-9.632e-05,-3.011079035496214,LONG,0.005747142255568071,0.009679229538093135,0.011223998427068265
LTCUSDT,1753747200001,2025,9.599e-05,-9.8628591647433e+13,SHORT,0.005706412171449331,0.0010100547206457842,-0.008953920031312049
LTCUSDT,1753948800009,2025,7.627e-05,-2.1794358584406583,SHORT,0.0010807890811587234,0.01076982218405536,0.027746600640736065
LTCUSDT,1754985600001,2025,3.741e-05,-2.0342716478062584,SHORT,0.004693663800927677,-0.013702826208886312,-0.0819255782892735
LTCUSDT,1755244800000,2025,2.015e-05,-2.9317055892956776,SHORT,0.0013218772579158245,0.0019834717246546415,0.022122025722470958
LTCUSDT,1755302400004,2025,1.621e-05,-2.665462707651627,SHORT,0.00473639175359523,0.003404611966276306,0.01899718204528338
LTCUSDT,1755388800000,2025,-3.217e-05,-3.844880245320348,LONG,-0.0012491153724745949,0.01265263933288417,0.013638265696042895
LTCUSDT,1755532800002,2025,1.22e-06,-2.0854682367657205,SHORT,-0.0065574005461590396,-0.004518144167780884,0.0004272956523588195
LTCUSDT,1756137600002,2025,-4.595e-05,-2.956457319640281,LONG,-0.0024147040307014303,-0.04288978523663745,-0.015573974589674638
LTCUSDT,1757030400001,2025,-1.689e-05,-2.150346419031681,LONG,0.010563163298309078,0.0037725725153194283,0.02611392728230454
LTCUSDT,1757318400000,2025,-4.876e-05,-3.9801313650538317,LONG,0.003799094554814264,0.0007963545083073679,-0.008355604168205475
LTCUSDT,1757462400000,2025,-3.953e-05,-2.2143997633316,LONG,0.004023071002110765,0.009450854937617163,0.01942842214833705
LTCUSDT,1757865600001,2025,-4.891e-05,-2.170745735222869,LONG,0.003997224647917731,0.003216415169129887,0.008755636533370902
LTCUSDT,1758355200000,2025,-2.23e-05,-2.0861990168544744,LONG,-0.0033318750683384206,-0.0032440517687604984,-0.0021030501967787877
LTCUSDT,1758499200005,2025,-5.656e-05,-2.213504189444907,LONG,0.00268576705759697,-0.0038622224324531026,-0.05103382676647439
LTCUSDT,1759795200000,2025,4.592e-05,-2.249368440120962,SHORT,0.0046482230321031265,0.0010967225969573517,-0.0024422093068282016
LTCUSDT,1760025600000,2025,4.991e-05,-2.092275395450345,SHORT,-0.018652149229569332,-0.02759735655560669,-0.11298317264916471
LTCUSDT,1760140800000,2025,0.00057432,28.624409918241103,SHORT,0.003636178750565015,-0.041539356153098304,-0.009187161393028685
LTCUSDT,1761091200004,2025,0.0001,2.5751335044370465,SHORT,-0.003781539809675311,-0.007548833431631668,-0.004859358409381869
LTCUSDT,1761667200004,2025,-0.00020355,-5.778306789139935,LONG,0.005826234461822749,-0.026749935972789952,-0.026129267700046113
LTCUSDT,1762185600000,2025,-0.00013799,-2.4430332760550346,LONG,0.02011190759893636,-0.013943083027523739,0.010724266014918007
LTCUSDT,1763337600003,2025,-1.665e-05,-2.1015852666627195,LONG,-0.009604039328763277,-0.006392433356677048,-0.014075993118041467
LTCUSDT,1763683200001,2025,-0.0001578,-4.561814872967116,LONG,-0.002610523019324397,-0.009567271153503936,-0.06606617421884953
LTCUSDT,1763884800008,2025,-9.78e-05,-2.3738735237677706,LONG,-0.0007207207519182903,0.0015597819468070161,0.00550833628428372
LTCUSDT,1764633600004,2025,-0.00015238,-3.005738224382845,LONG,-0.0015457944595492063,-0.00244861260302805,0.010117266294778339
LTCUSDT,1764777600005,2025,0.0001,2.1078401231948787,SHORT,-0.0028126117217354978,-0.007366300482578457,-0.00748278950361988
LTCUSDT,1766160000000,2025,0.0001,2.0144696669891595,SHORT,0.008387991513023442,-0.014769020879680754,0.0016981259387284348
LTCUSDT,1766563200001,2025,-8.013e-05,-2.535575443939602,LONG,0.005164548326263524,0.014498738229802252,0.002784224536405082
