database,template_id,dimension,key,closed,open,wins,losses,net_pnl,net_pf,mean_margin_return_pct,median_holding_h,p90_holding_h
go_binance,59,symbol,VELVETUSDT,2,0,1,1,1.09553405,1.55340393,2.73883512,0.55305556,0.89972222
go_binance,59,symbol,SEIUSDT,3,0,1,2,-2.54173690,0.42015016,-4.23622816,0.74722222,0.96166667
go_binance,59,symbol,MYXUSDT,2,0,0,2,-3.50040806,0.00000000,-8.75102014,1.56152778,1.86830556
go_binance,59,symbol,CAPUSDT,2,0,0,2,-3.93672445,0.00000000,-9.84181113,0.15500000,0.16766667
go_binance,59,symbol,COOKIEUSDT,3,0,1,2,-1.05604443,0.66679720,-1.76007404,3.99583333,5.96850000
go_binance,59,symbol,QTUMUSDT,3,1,1,2,2.63671889,1.65534851,4.39453148,5.62888889,10.37888889
go_binance,59,symbol,IOTXUSDT,1,0,1,0,1.96873388,—,9.84366938,4.38805556,4.38805556
go_binance,59,symbol,BZUSDT,3,1,0,3,-5.89959630,0.00000000,-9.83266050,1.65944444,2.92166667
go_binance,59,symbol,ZROUSDT,1,0,0,1,-1.98260166,0.00000000,-9.91300832,0.09444444,0.09444444
go_binance,59,symbol,BIGTIMEUSDT,2,0,0,2,-4.25123081,0.00000000,-10.62807704,0.86875000,0.93863889
go_binance,59,symbol,HYPEUSDT,2,1,0,2,-4.03623095,0.00000000,-10.09057736,0.55263889,0.74052778
go_binance,59,symbol,VETUSDT,1,0,0,1,-1.96051270,0.00000000,-9.80256349,3.75055556,3.75055556
go_binance,59,symbol,NXPCUSDT,2,0,1,1,0.37663260,1.19328965,0.94158150,6.80694444,9.85783333
go_binance,59,symbol,CAKEUSDT,3,0,0,3,-5.22785565,0.00000000,-8.71309275,1.08666667,1.21288889
go_binance,59,symbol,BANDUSDT,2,0,0,2,-4.07695619,0.00000000,-10.19239048,2.65444444,2.78088889
go_binance,59,symbol,COTIUSDT,2,0,1,1,0.84045101,1.39707588,2.10112754,0.89527778,1.39683333
